acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,song_title,artist_name
0.0511,https://api.spotify.com/v1/audio-analysis/1wZqJM5FGDEl3FjHDxDyQd,0.717,235477,0.347,0.00000243,11,0.087,-10.265,0,0.0636,84.987,4,0.0593,Come And See Me,PARTYNEXTDOOR Featuring Drake
0.0538,https://api.spotify.com/v1/audio-analysis/1vBpwxsLVwaR4evBIaFmqD,0.628,220800,0.761,0.00000374,9,0.312,-6.377,1,0.0277,102.019,4,0.64,Drinkin' Problem,Midland
0.156,https://api.spotify.com/v1/audio-analysis/5JW8njiQorZ7m2VHYddTt6,0.924,104528,0.387,0.000331,8,0.0973,-7.738,1,0.115,120.014,4,0.0624,Hi Bich,Bhad Bhabie
0.0528,https://api.spotify.com/v1/audio-analysis/2OFvjqQ5xHaWqH3EQ4K3S9,0.46,191733,0.821,0,4,0.0818,-5.333,0,0.0404,164.144,4,0.438,Found You,Kane Brown
0.0223,https://api.spotify.com/v1/audio-analysis/3Du2K5dLzmduCNp6uwuaL0,0.702,203760,0.635,0,11,0.283,-6.917,0,0.265,144.004,4,0.873,Sorry Not Sorry,Demi Lovato
0.562,https://api.spotify.com/v1/audio-analysis/4nMlau89VAjmV7agkl7OY3,0.822,198001,0.544,0.000024,0,0.144,-6.797,1,0.0332,122.047,4,0.865,Fresh Eyes,Andy Grammer
0.222,https://api.spotify.com/v1/audio-analysis/2ZdCrBA52bb4pIG3tOOZiQ,0.747,173419,0.606,0,4,0.281,-5.286,1,0.172,155.055,4,0.2,Dark Queen,Lil Uzi Vert
0.147,https://api.spotify.com/v1/audio-analysis/1jQsKN68yE94tMYml0wHMd,0.745,213693,0.714,0,1,0.132,-6.729,1,0.0768,136.972,4,0.539,Jump Out The Window,Big Sean
0.616,https://api.spotify.com/v1/audio-analysis/63NTlJWNS65JjsE3QJYr20,0.802,295653,0.628,0,11,0.114,-8.352,0,0.431,143.946,4,0.641,Changed It,Nicki Minaj & Lil Wayne
0.0578,https://api.spotify.com/v1/audio-analysis/2y5aJvzXhHPA94U5GFAcXe,0.737,245653,0.452,0.0000148,0,0.187,-8.366,1,0.0534,117.962,4,0.0971,I Don't,Mariah Carey Featuring YG
0.132,https://api.spotify.com/v1/audio-analysis/7BKUWh5sdtdS17crohRe4L,0.617,331267,0.869,0.0000738,1,0.441,-5.293,1,0.101,139.994,4,0.323,Black SpiderMan,Logic Featuring Damian Lemar Hudson
