,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist_name,PeakPos,Popularity,Followers
0,0.245,https://api.spotify.com/v1/audio-analysis/1TgDJSj2toOHuB2rybLdQb,0.613,214400,0.825,1TgDJSj2toOHuB2rybLdQb,0,8,0.245,-2.717,0,0.187,150.072,4,https://api.spotify.com/v1/tracks/1TgDJSj2toOHuB2rybLdQb,audio_features,spotify:track:1TgDJSj2toOHuB2rybLdQb,0.402,Sandcastles,Beyonce,43,57,11302
0,0.103,https://api.spotify.com/v1/audio-analysis/5BtS8w1kkjLV1BbvB0t12u,0.45,227987,0.795,5BtS8w1kkjLV1BbvB0t12u,0,10,0.166,-4.249,1,0.0355,151.884,4,https://api.spotify.com/v1/tracks/5BtS8w1kkjLV1BbvB0t12u,audio_features,spotify:track:5BtS8w1kkjLV1BbvB0t12u,0.364,Hope You Get Lonely Tonight,Cole Swindell,50,74,512153
0,0.0262,https://api.spotify.com/v1/audio-analysis/0drVeoGy7njENU29Z3lPEy,0.656,252827,0.725,0drVeoGy7njENU29Z3lPEy,0,1,0.0712,-4.067,1,0.0596,153.873,4,https://api.spotify.com/v1/tracks/0drVeoGy7njENU29Z3lPEy,audio_features,spotify:track:0drVeoGy7njENU29Z3lPEy,0.403,Lemme See,Usher Featuring Rick Ross,46,85,4450304
0,0.263,https://api.spotify.com/v1/audio-analysis/1HXy5I3HTWq8OvxCn0z7G7,0.677,179507,0.556,1HXy5I3HTWq8OvxCn0z7G7,0,9,0.105,-6.544,1,0.0306,80.009,4,https://api.spotify.com/v1/tracks/1HXy5I3HTWq8OvxCn0z7G7,audio_features,spotify:track:1HXy5I3HTWq8OvxCn0z7G7,0.521,Heaven,Jake Worthington,98,80,321105
0,0.0224,https://api.spotify.com/v1/audio-analysis/4gowy3WT6D1yhMLgRBlf9C,0.787,220862,0.338,4gowy3WT6D1yhMLgRBlf9C,1.05E-06,0,0.118,-10.112,1,0.384,137.848,4,https://api.spotify.com/v1/tracks/4gowy3WT6D1yhMLgRBlf9C,audio_features,spotify:track:4gowy3WT6D1yhMLgRBlf9C,0.197,Change Locations,Drake & Future,82,99,13837891
0,0.0119,https://api.spotify.com/v1/audio-analysis/3qyeNnFY67zX6VmmIbzPsL,0.537,178634,0.749,3qyeNnFY67zX6VmmIbzPsL,0,8,0.154,-4.725,1,0.109,100.088,4,https://api.spotify.com/v1/tracks/3qyeNnFY67zX6VmmIbzPsL,audio_features,spotify:track:3qyeNnFY67zX6VmmIbzPsL,0.299,Body 2 Body,Ace Hood Featuring Chris Brown,65,79,141350
0,0.132,https://api.spotify.com/v1/audio-analysis/6C6fHTuFUxVtJpBOOaMvJr,0.605,253507,0.559,6C6fHTuFUxVtJpBOOaMvJr,0,3,0.0955,-8.257,0,0.0271,100.042,4,https://api.spotify.com/v1/tracks/6C6fHTuFUxVtJpBOOaMvJr,audio_features,spotify:track:6C6fHTuFUxVtJpBOOaMvJr,0.271,Shameless,The Weeknd,79,95,8246016
0,0.0146,https://api.spotify.com/v1/audio-analysis/6CNlnlcnQ7DMFmloIRR1e3,0.308,232093,0.869,6CNlnlcnQ7DMFmloIRR1e3,0,5,0.878,-4.541,0,0.438,72.055,4,https://api.spotify.com/v1/tracks/6CNlnlcnQ7DMFmloIRR1e3,audio_features,spotify:track:6CNlnlcnQ7DMFmloIRR1e3,0.169,So Special,Lil Wayne Featuring John Legend,95,93,5286218
0,0.157,https://api.spotify.com/v1/audio-analysis/0wdKiSBUT7aZkXUIdJWcwC,0.895,240000,0.681,0wdKiSBUT7aZkXUIdJWcwC,0,7,0.189,-5.267,0,0.358,121.918,4,https://api.spotify.com/v1/tracks/0wdKiSBUT7aZkXUIdJWcwC,audio_features,spotify:track:0wdKiSBUT7aZkXUIdJWcwC,0.554,2 Phones,Kevin Gates,17,83,1321975
0,0.101,https://api.spotify.com/v1/audio-analysis/6IFPfV8PNSYOmufzQ95hmm,0.556,190640,0.873,6IFPfV8PNSYOmufzQ95hmm,0.000131,1,0.176,-5.056,1,0.0348,104.986,4,https://api.spotify.com/v1/tracks/6IFPfV8PNSYOmufzQ95hmm,audio_features,spotify:track:6IFPfV8PNSYOmufzQ95hmm,0.48,Confession,Florida Georgia Line,53,90,1039341
0,0.062,https://api.spotify.com/v1/audio-analysis/61QSuw5VlC0LTS8WMO356g,0.536,191942,0.721,61QSuw5VlC0LTS8WMO356g,0,10,0.824,-6.44,0,0.386,117.139,5,https://api.spotify.com/v1/tracks/61QSuw5VlC0LTS8WMO356g,audio_features,spotify:track:61QSuw5VlC0LTS8WMO356g,0.393,All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",27,76,279682
0,0.0607,https://api.spotify.com/v1/audio-analysis/0yQw3d0iQDjMrxaVHFv77J,0.531,226293,0.665,0yQw3d0iQDjMrxaVHFv77J,0,8,0.131,-6.672,0,0.286,73.726,4,https://api.spotify.com/v1/tracks/0yQw3d0iQDjMrxaVHFv77J,audio_features,spotify:track:0yQw3d0iQDjMrxaVHFv77J,0.8,Strange Clouds,B.o.B Featuring Lil Wayne,7,80,1139730
0,0.00331,https://api.spotify.com/v1/audio-analysis/3iAvTn62s7rvE6hm6fFodt,0.701,199000,0.864,3iAvTn62s7rvE6hm6fFodt,0,3,0.0421,-4.351,1,0.0631,106.034,4,https://api.spotify.com/v1/tracks/3iAvTn62s7rvE6hm6fFodt,audio_features,spotify:track:3iAvTn62s7rvE6hm6fFodt,0.811,Loser Like Me,Glee Cast,6,81,763313
0,0.343,https://api.spotify.com/v1/audio-analysis/5zpDHEU12zATwLGvozxPw2,0.651,303813,0.671,5zpDHEU12zATwLGvozxPw2,0,0,0.119,-8.183,1,0.27,90.135,4,https://api.spotify.com/v1/tracks/5zpDHEU12zATwLGvozxPw2,audio_features,spotify:track:5zpDHEU12zATwLGvozxPw2,0.161,Lighters,Bad Meets Evil Featuring Bruno Mars,4,66,375307
0,0.188,https://api.spotify.com/v1/audio-analysis/2S2od3hT7ceytw7d1pTRuE,0.664,193962,0.738,2S2od3hT7ceytw7d1pTRuE,5.75E-05,9,0.135,-4.095,0,0.0338,119.973,4,https://api.spotify.com/v1/tracks/2S2od3hT7ceytw7d1pTRuE,audio_features,spotify:track:2S2od3hT7ceytw7d1pTRuE,0.203,Again,Fetty Wap,33,81,182281
0,0.0386,https://api.spotify.com/v1/audio-analysis/3esPcn43N0CytAtcY9V30C,0.482,219547,0.823,3esPcn43N0CytAtcY9V30C,3.69E-05,9,0.0948,-4.446,1,0.0661,167.665,4,https://api.spotify.com/v1/tracks/3esPcn43N0CytAtcY9V30C,audio_features,spotify:track:3esPcn43N0CytAtcY9V30C,0.451,A Little More Summertime,Jason Aldean,52,80,1688309
0,0.00772,https://api.spotify.com/v1/audio-analysis/46iI0binWzpkEJgIWTYUBR,0.505,224333,0.833,46iI0binWzpkEJgIWTYUBR,7.90E-05,0,0.069,-4.632,1,0.0475,130.121,4,https://api.spotify.com/v1/tracks/46iI0binWzpkEJgIWTYUBR,audio_features,spotify:track:46iI0binWzpkEJgIWTYUBR,0.565,Gold On The Ceiling,The Black Keys,94,78,2179195
0,0.108,https://api.spotify.com/v1/audio-analysis/343YBumqHu19cGoGARUTsd,0.927,210937,0.488,343YBumqHu19cGoGARUTsd,0,9,0.196,-9.433,0,0.42,133.987,4,https://api.spotify.com/v1/tracks/343YBumqHu19cGoGARUTsd,audio_features,spotify:track:343YBumqHu19cGoGARUTsd,0.605,Fake Love,Drake,8,99,13837905
0,0.0389,https://api.spotify.com/v1/audio-analysis/22mek4IiqubGD9ctzxc69s,0.738,212640,0.868,22mek4IiqubGD9ctzxc69s,0.00171,11,0.388,-4.373,0,0.0731,122.003,4,https://api.spotify.com/v1/tracks/22mek4IiqubGD9ctzxc69s,audio_features,spotify:track:22mek4IiqubGD9ctzxc69s,0.336,How Deep Is Your Love,Calvin Harris & Disciples,27,91,8373454
0,0.141,https://api.spotify.com/v1/audio-analysis/7vbjH8laThXpcBXeLNPm3M,0.825,189800,0.364,7vbjH8laThXpcBXeLNPm3M,0.311,2,0.195,-7.635,0,0.121,153.028,4,https://api.spotify.com/v1/tracks/7vbjH8laThXpcBXeLNPm3M,audio_features,spotify:track:7vbjH8laThXpcBXeLNPm3M,0.177,Racks,YC Featuring Future,42,98,2128398
0,0.304,https://api.spotify.com/v1/audio-analysis/5mCPDVBb16L4XQwDdbRUpz,0.804,298941,0.459,5mCPDVBb16L4XQwDdbRUpz,0.0862,11,0.11,-11.556,1,0.039,111.963,4,https://api.spotify.com/v1/tracks/5mCPDVBb16L4XQwDdbRUpz,audio_features,spotify:track:5mCPDVBb16L4XQwDdbRUpz,0.372,Passionfruit,Drake,8,99,13837906
0,0.0684,https://api.spotify.com/v1/audio-analysis/3Jv1XgMPVjdN5xGfnRJ20s,0.734,303533,0.893,3Jv1XgMPVjdN5xGfnRJ20s,0,2,0.719,-1.847,1,0.125,138.05,4,https://api.spotify.com/v1/tracks/3Jv1XgMPVjdN5xGfnRJ20s,audio_features,spotify:track:3Jv1XgMPVjdN5xGfnRJ20s,0.595,Pop That,"French Montana Featuring Rick Ross, Drake, Lil Wayne",36,92,1095399
0,0.0244,https://api.spotify.com/v1/audio-analysis/12mGwph2YzDIlChtq3EdXP,0.636,273803,0.953,12mGwph2YzDIlChtq3EdXP,0.0164,2,0.108,-3.74,1,0.0353,142.011,4,https://api.spotify.com/v1/tracks/12mGwph2YzDIlChtq3EdXP,audio_features,spotify:track:12mGwph2YzDIlChtq3EdXP,0.397,Alone,Marshmello,60,93,1479244
0,0.0335,https://api.spotify.com/v1/audio-analysis/4Bs3e4nbpa6bxNhuQfT6Ge,0.836,112941,0.409,4Bs3e4nbpa6bxNhuQfT6Ge,1.78E-05,1,0.112,-10.184,1,0.311,136.043,4,https://api.spotify.com/v1/tracks/4Bs3e4nbpa6bxNhuQfT6Ge,audio_features,spotify:track:4Bs3e4nbpa6bxNhuQfT6Ge,0.567,Foreign,Trey Songz,84,91,1098787
0,0.0151,https://api.spotify.com/v1/audio-analysis/2OpY5KKUvkYAkiY8FEG1Wi,0.616,204467,0.83,2OpY5KKUvkYAkiY8FEG1Wi,7.44E-06,0,0.102,-4.757,1,0.034,115.01,4,https://api.spotify.com/v1/tracks/2OpY5KKUvkYAkiY8FEG1Wi,audio_features,spotify:track:2OpY5KKUvkYAkiY8FEG1Wi,0.732,Angel In Blue Jeans,Train,79,79,1769533
