"","athlete.sex","type","average_speed","distance","total_elevation_gain","incline","score"
"457","F","Run",3.401,4890.6,22.6,0.00462110988426778,16858.9306
"458","F","Run",2.734,10008.6,0,0,27363.5124
"459","F","Ride",5.544,15561.3,74.8,0.00480679634734887,87019.8472
"460","F","Run",3.589,5692.7,26,0.00456725279744234,20691.1003
"461","F","Run",2.681,5126.7,0,0,13744.6827
"462","M","Run",2.891,9567.7,23,0.00240392152763987,27890.2207
"463","F","Ride",6.065,36529.2,139.2,0.00381065011004895,222941.598
"464","F","Ride",2.698,7312.2,0,0,19728.3156
"465","F","Run",2.823,10227.8,65.5,0.00640411427677506,29528.0794
"466","M","Ride",7.768,82693.3,530.7,0.00641769042957531,647668.5544
"467","M","Ride",8.287,57074.6,277,0.00485329726358135,475747.2102
"468","M","Ride",3.586,42453.9,843.8,0.0198756769107196,160677.6854
"469","F","Run",3.287,10080.2,57,0.00565464970933116,33703.6174
"470","F","Run",2.429,5245.2,17.3,0.00329825364142454,12913.5908
"471","M","Ride",6.521,306714,3913.7,0.0127600957243556,2039218.994
"472","F","Run",2.222,4029.1,10.7,0.00265567992852002,9059.6602
"473","F","Run",2.413,3086,0,0,7446.518
"474","M","Run",1.407,5581.5,557.5,0.0998835438502195,13428.1705
"475","F","Run",1.66,2627.8,0,0,4362.148
"476","F","Run",2.454,1693.3,0,0,4155.3582
"477","F","Ride",3.18,7587.9,199.6,0.0263050382846374,26125.522
"478","F","Run",2.323,4996,0,0,11605.708
"479","F","Run",1.7,4774.3,65.8,0.0137821251282911,8774.31
"480","F","Ride",5.358,16336.9,26.3,0.00160985254240401,87796.1102
"481","M","Ride",8.088,62421.9,124,0.00198648230829244,506108.3272
"482","F","Ride",5.227,15847.1,398,0.0251150052691029,86812.7917
"483","M","Run",3.045,21218.4,156,0.00735210948987671,66170.028
"484","M","Ride",4.474,29964.4,990,0.0330392065250764,143960.7256
"485","F","Ride",4.851,54665,821.4,0.0150260678679228,273393.915
"486","M","Run",3.177,6134.3,78.6,0.0128131979198931,20274.6711
"487","M","Ride",3.776,14760.4,138.7,0.00939676431533021,57122.2704
"488","M","Ride",7.47,27077.1,169.4,0.00625620912136085,203959.937
"489","F","Ride",7.769,49235.2,263.4,0.00534983101520863,385142.2688
"490","M","Ride",9.295,33480.3,1,2.98683106184831e-05,311209.3885
"491","F","Run",2.607,6152,11.5,0.00186931079323797,16153.264
"492","F","Ride",3.322,45028.6,126.1,0.0028004423855061,150846.0092
"493","M","Ride",8.747,45939.4,356,0.00774933934705286,405391.9318
"494","M","Ride",8.026,36463.4,281.8,0.0077282974160391,295473.2484
"495","F","Run",2.194,1950.7,0,0,4279.8358
"496","F","Run",1.782,2587.2,0,0,4610.3904
"497","M","Run",2.943,13297.4,49.8,0.00374509302570427,39632.2482
"498","M","Run",2.806,3005.5,32.7,0.0108800532357345,8760.433
"499","F","Run",2.18,2920.8,38.5,0.0131813201862503,6752.344
"500","F","Run",2.429,7582.5,12.4,0.00163534454335641,18541.8925
"501","M","Ride",7.995,16461.1,0,0,131606.4945
"502","M","Run",3.592,10230.1,17.4,0.00170086313916775,36920.5192
"503","M","Ride",7.05,42944.4,616,0.0143441286873259,308918.02
"504","M","Run",3.048,7159.8,27.2,0.00379898879856979,22095.0704
"505","M","Run",3.722,14716.3,0,0,54774.0686
"506","F","Run",2.396,5247.4,0,0,12572.7704
"507","M","Run",3.164,11133.1,26.5,0.00238028940726303,35490.1284
"508","M","Ride",7.53,25608.2,45,0.00175724963097758,193279.746
"509","M","Ride",5.243,32004.5,153.1,0.00478370229186521,169330.5935
"510","F","Ride",3.828,918.7,0,0,3516.7836
