"","athlete.sex","type","average_speed","distance","total_elevation_gain","incline","score"
"1588","F","Run",2.364,5272.4,12.7,0.00240877019952963,12590.9536
"1589","M","Ride",7.784,47810.4,575,0.0120266720211502,377906.1536
"1590","F","Ride",5.974,7192.8,10.8,0.0015015015015015,43077.7872
"1591","M","Ride",7.493,52497.8,222,0.00422874863327606,395586.0154
"1592","M","Ride",8.75,55472.4,222,0.00400199017889978,487603.5
"1593","F","Run",2.358,12285.3,467.5,0.0380536087844823,33643.7374
"1594","F","Run",2.449,6463.9,75.4,0.0116647844180758,16584.0911
"1595","F","Run",3.456,20009.7,128,0.00639689750471021,70433.5232
"1596","M","Ride",10.014,18015.9,0,0,180411.2226
"1597","F","Run",1.28,14824.8,357.4,0.0241082510387998,22549.744
"1598","F","Run",2.043,5951.7,287.3,0.048271922307912,15032.3231
"1599","M","Ride",7.781,101596,522,0.00513799755895901,795738.476
"1600","F","Run",3.9,7676,0,0,29936.4
"1601","M","Ride",5.962,11769.9,45.2,0.0038403045055608,70624.1438
"1602","F","Run",1.797,5407,71.4,0.0132051044941742,10430.379
"1603","M","Run",2.453,6249,32.3,0.00516882701232197,15651.797
"1604","M","Ride",6.07,89601.9,1389.4,0.0155063676105083,557777.533
"1605","M","Ride",7.292,23043.1,202.6,0.00879221979681553,170056.2852
"1606","M","Ride",6.304,51947.8,748.1,0.014400994844825,334959.9312
"1607","M","Ride",4.233,35291.3,342.7,0.00971060856358366,152815.0729
"1608","F","Ride",6.35,80212.7,417.5,0.00520491144170437,513525.645
"1609","M","Run",3.294,9737.6,49,0.0050320407492606,32565.6544
"1610","F","Ride",4.3,5912,79,0.013362652232747,26211.6
"1611","M","Ride",6.007,12777.9,93,0.00727819125208368,77686.8453
"1612","M","Ride",4.537,9836.8,71.2,0.00723812621990891,45341.5616
"1613","M","Ride",2.704,11277.2,306,0.0271343950626042,33553.5488
"1614","F","Run",2.69,3502.2,0,0,9420.918
"1615","F","Ride",8.395,22565.4,107,0.0047417728026093,190506.533
"1616","F","Ride",6.646,8180.7,29.9,0.00365494395345142,54667.9322
"1617","M","Run",1.627,4423.3,10.6,0.00239640087717315,7302.7091
"1618","F","Ride",5.752,80402.4,559.3,0.00695626001213894,468067.6048
"1619","F","Ride",7.176,28014.3,137.8,0.00491891641054747,202408.6168
"1620","M","Ride",4.895,7162,24.2,0.00337894442893047,35299.99
"1621","F","Ride",3.86,602.1,13.9,0.0230858661351935,2463.106
"1622","F","Run",2.89,5339.8,45,0.00842728192067119,15882.022
"1623","F","Run",2.391,2979.3,34.8,0.0116805961131809,7471.5063
"1624","M","Ride",6.144,12115.2,117,0.00965729001584786,75605.7888
"1625","F","Ride",5.993,3925.4,0,0,23524.9222
"1626","M","Ride",2.831,8564.5,4,0.000467044194056863,24286.0995
"1627","M","Ride",5.739,132,46,0.348484848484849,1217.548
"1628","M","Ride",7.085,29035.9,149.9,0.00516257460591888,207218.3515
"1629","F","Run",2.631,5180,31.5,0.00608108108108108,13943.58
"1630","F","Ride",7.416,33147.4,130.5,0.0039369603649155,247126.1184
"1631","M","Ride",3.039,38583.2,784.4,0.0203300918534492,125098.3448
"1632","M","Run",3.077,10163.5,128.9,0.0126826388547252,32562.0895
"1633","M","Run",3.225,15005.2,141.8,0.00945005731346467,49809.77
"1634","F","Ride",9.196,73472.8,35.9,0.000488616195381148,676014.8688
"1635","F","Run",3.36,11043.9,184,0.0166607810646601,38947.504
"1636","M","Run",3.211,4688.3,122,0.0260222255401745,16274.1313
"1637","M","Ride",6.494,25950.7,70.1,0.00270127588080476,169224.8458
"1638","F","Ride",5.4,8110.7,35.4,0.00436460478133823,44151.78
"1639","M","Run",3.02,5157.5,29.6,0.00573921473582162,15871.65
"1640","F","Ride",3.997,24027.5,182.9,0.00761211112267194,97866.9175
"1641","M","Ride",2.204,15762.5,607,0.0385091197462331,40810.55
"1642","M","Ride",7.776,111638,1015,0.00909188627528261,878247.088
"1643","M","Ride",7.915,34756,629,0.0180975946599148,281383.74
"1644","F","Run",2.374,11380.5,272.7,0.0239620403321471,29744.307
"1645","M","Ride",7.312,26482.7,66,0.00249219301657308,194301.5024
"1646","F","Ride",3.802,11982.5,0,0,45557.465
"1647","F","Ride",2.973,14915.2,10.1,0.000677161553314739,44443.8896
"1648","F","Run",1.957,4350.3,97.2,0.0223432866698848,9485.5371
"1649","M","Ride",5.12,40952,418.2,0.0102119554600508,213856.24
"1650","M","Ride",6.465,59430.7,476,0.00800932851203166,388979.4755
"1651","F","Ride",6.452,23729.2,210.7,0.00887935539335502,155207.7984
"1652","M","Ride",5.023,50223.4,892,0.0177606454361911,261192.1382
"1653","F","Run",2.939,6244.9,86.7,0.0138833287962978,19220.7611
"1654","F","Run",2.737,8771.9,37.5,0.00427501453504942,24383.6903
"1655","M","Ride",7.124,15801.7,58.3,0.00368947644873653,113154.3108
"1656","F","Ride",3.84,6627.6,0,0,25449.984
"1657","F","Ride",5.367,9160.9,13,0.00141907454507745,49296.5503
"1658","M","Ride",5.764,17298.1,148.7,0.00859631982703303,101193.2484
"1659","F","Ride",7.032,65787.7,285,0.00433211679386876,465469.1064
"1660","F","Ride",6.755,19338.8,161,0.00832523217572962,132243.594
"1661","F","Run",3.312,10976.5,222.1,0.0202341365644787,38575.168
"1662","M","Ride",6.646,19312.4,198.4,0.0102731923530996,130334.2104
"1663","M","Ride",6.192,11152,0,0,69053.184
"1664","M","Run",2.894,5099.9,0,0,14759.1106
"1665","M","Ride",7.986,208948,175.5,0.000839921894442636,1670413.728
"1666","M","Ride",7.706,35279,114.1,0.00323421865699141,273000.974
"1667","F","Ride",7.332,91457,1470,0.016073127261992,685262.724
"1668","F","Ride",3.331,7461.5,248.5,0.0333042953829659,27339.2565
"1669","F","Ride",2.915,9040.2,134.1,0.0148337426163138,27693.183
"1670","F","Run",3.162,5071.4,5,0.000985921047442521,16085.7668
"1671","M","Run",2.552,7396,116,0.0156841535965387,20034.592
"1672","F","Ride",5.525,13430.6,380.8,0.0283531636710199,78012.065
"1673","M","Ride",3.358,26813.4,1208.2,0.0450595597723526,102121.3972
"1674","M","Ride",7.097,34506.1,182.4,0.00528602189178145,246713.7917
"1675","M","Ride",3.889,3052.5,162,0.0530712530712531,13491.1725
"1676","F","Ride",3.145,20792.6,461,0.0221713494223907,70002.727
"1677","M","Ride",7.22,142482,2810.9,0.0197281060063727,1056829.04
"1678","F","Run",2.797,7119.2,59,0.0082874480278683,20502.4024
"1679","F","Run",2.738,5554.7,0,0,15208.7686
"1680","F","Run",2.711,12268.2,131.3,0.0107024665395086,34572.0902
"1681","M","Ride",6.689,74005.2,723,0.0097695837589791,502250.7828
"1682","M","Ride",5.88,52033.3,588,0.0113004556697346,311835.804
"1683","M","Ride",5.598,33774.4,579.4,0.0171550049741816,194863.0912
"1684","F","Ride",4.606,10300.1,40.6,0.00394170930379317,47848.2606
"1685","M","Ride",4.878,123135,1447,0.0117513298412312,615122.53
"1686","F","Ride",3.447,28227.1,436.4,0.015460320047047,101662.8137
"1687","M","Run",3.038,16195,81.3,0.00502006792219821,50013.41
"1688","M","Ride",8.338,50158.5,90,0.00179431203086217,419121.573
"1689","F","Ride",4.106,20893.2,111.5,0.00533666456071832,86902.4792
"1690","F","Run",2.81,5593.8,45,0.00804462083020487,16168.578
"1691","F","Ride",6.557,39532.2,212.4,0.00537283530893803,261336.6354
"1692","F","Run",2.689,12102.3,73,0.00603191128958958,33273.0847
"1693","F","Run",3.035,5092.4,11.6,0.00227790432801822,15571.434
"1694","F","Ride",4.88,46348.5,1004.9,0.0216813920623105,236229.68
"1695","M","Ride",5.035,38039,670.4,0.0176240174557691,198230.365
"1696","F","Ride",3.465,10458.8,208.1,0.0198971201285042,38320.742
"1697","F","Run",2.793,5030.2,0,0,14049.3486
"1698","F","Ride",4.869,20840.9,85.9,0.00412170299747132,102333.3421
"1699","M","Ride",4.659,34792.3,371.3,0.010671901541433,165810.3257
"1700","F","Run",1.935,5188.4,15.6,0.00300670727006399,10195.554
"1701","F","Ride",3.929,6507.2,188.1,0.0289064420949103,27447.7888
"1702","M","Ride",7.886,21125.8,57,0.00269812267464427,167168.0588
"1703","F","Run",0.394,2702.4,2,0.0007400828892836,1084.7456
"1704","F","Ride",5.746,40920.8,577,0.0141004085941624,240900.9168
"1705","M","Ride",6.456,37845.3,10.5,0.000277445283826525,244434.2568
"1706","F","Ride",7.889,57430.6,608,0.0105866907188851,459150.0034
"1707","F","Ride",7.07,19617.9,115,0.00586199338359355,139848.553
"1708","M","Ride",5.642,57098.6,473.7,0.00829617538783788,326887.3012
"1709","M","Run",2.792,5589.8,58.6,0.0104833804429497,16192.7216
"1710","M","Run",3.04,6490.4,0,0,19730.816
"1711","F","Run",2.43,3771.2,57.5,0.0152471361900721,9739.016
"1712","M","Ride",6.939,22524.3,12.1,0.000537197604365064,156417.1177
"1713","F","Ride",5.703,32536.7,182.7,0.00561519760762462,187383.8001
"1714","F","Ride",5.264,48738,889.9,0.0182588534613648,265455.832
"1715","M","Ride",4.315,27236.6,239.8,0.00880432946843586,119923.929
"1716","F","Ride",7.302,44892.7,428,0.00953384403254872,332086.4954
"1717","F","Ride",6.352,2788.7,0,0,17713.8224
"1718","F","Ride",4.578,25313.2,61.4,0.00242561193369467,116497.8296
"1719","M","Run",3.255,8658,82,0.00947100947100947,29001.79
"1720","M","Ride",6.115,44796,238,0.00531297437271185,276307.54
"1721","M","Ride",4.536,53106.5,525.7,0.00989897658478717,246148.084
"1722","F","Run",1.133,10278.6,75.1,0.0073064425116261,12396.6538
"1723","F","Ride",5.166,12068.8,101.5,0.00841011533872465,63362.4208
"1724","F","Ride",2.671,3777.2,0,0,10088.9012
"1725","M","Ride",3.949,11178.8,197,0.0176226428596987,46115.0812
"1726","F","Run",3.439,4412.8,0,0,15175.6192
"1727","M","Run",3.004,3244.4,21.2,0.00653433608679571,9958.1776
"1728","M","Ride",6.205,152641,1776.2,0.0116364541636913,964899.405
"1729","M","Ride",4.683,2711.7,19,0.00700667477965852,12888.8911
"1730","F","Run",3.337,8060,55.7,0.0069106699751861,27453.22
"1731","M","Ride",4.355,22909.5,361,0.0157576551212379,103380.8725
"1732","M","Run",3.02,4026.2,12,0.00298047786995182,12279.124
"1733","M","Ride",8.955,48735.4,472,0.00968495180094962,441145.507
"1734","F","Run",3.138,5015,0,0,15737.07
"1735","M","Run",3.026,10019,43,0.00429184549356223,30747.494
"1736","M","Run",3.425,9954.4,0,0,34093.82
"1737","F","Ride",7.108,28062.6,119.3,0.00425120979524349,200661.9608
"1738","F","Ride",4.364,28436.8,313.7,0.0110314803353401,127235.1952
"1739","M","Ride",7.168,68012.3,416.2,0.00611948132911253,491674.1664
"1740","F","Ride",7.736,20354.7,65,0.00319336566001955,158113.9592
"1741","F","Run",2.858,5547.4,40.4,0.00728269099037387,16258.4692
"1742","M","Ride",5.731,16419.9,192,0.0116931284599784,96022.4469
"1743","F","Ride",8.148,62521.6,301,0.00481433616542123,512435.9968
"1744","M","Ride",4.631,16932,75.8,0.00447673045121663,79170.092
"1745","M","Ride",3.468,17571.5,77.3,0.00439916910906866,61710.962
"1746","F","Ride",6.279,43227.5,431.8,0.00998901162454456,275743.4725
"1747","M","Ride",7.552,11207.5,72,0.00642426946241356,85359.04
"1748","M","Ride",4.22,17311.2,117.2,0.00677018346503997,74225.264
"1749","F","Ride",4.841,7779.1,0,0,37658.6231
"1750","F","Ride",5.458,29923.2,74.3,0.00248302320607422,164063.8256
"1751","F","Run",1.517,13433,91.7,0.0068264721208963,21294.861
"1752","M","Ride",3.637,8762.3,159.6,0.0182143957636694,33464.4851
"1753","F","Run",2.757,4799.2,0,0,13231.3944
"1754","M","Ride",5.183,14387.8,46.6,0.00323885514116126,75037.9674
"1755","F","Ride",4.197,10879.1,107.7,0.00989971596915186,46736.5827
"1756","M","Ride",8.644,2066,0,0,17858.504
"1757","F","Run",3.018,4915.6,26.6,0.00541134347790707,15101.2808
"1758","M","Ride",9.276,35823.9,0,0,332302.4964
"1759","F","Ride",2.568,55729.7,3749.5,0.0672801037866703,180608.8696
"1760","M","Run",3.088,6896.3,56.6,0.00820729956643418,21861.7744
"1761","M","Ride",7.426,97748.5,1237,0.012654925651033,738250.361
"1762","F","Ride",6.065,27292.4,0,0,165528.406
"1763","M","Ride",4.865,3648.6,27.7,0.00759195307789289,18027.439
"1764","M","Run",2.73,11162.1,59.5,0.00533053816038201,31067.533
"1765","F","Run",2.235,809,0,0,1808.115
"1766","M","Ride",7.262,15722.6,44,0.00279851932886418,114617.5212
"1767","M","Ride",3.145,13418,416.8,0.0310627515277985,46367.61
"1768","M","Ride",3.724,25271.5,576,0.0227924737352353,99871.066
"1769","M","Ride",10.901,7838.1,65,0.00829282606754188,86093.1281
"1770","F","Ride",7.664,50391.2,169.3,0.00335971360078744,387891.1568
"1771","F","Ride",4.238,34378.8,1163.9,0.0338551665561334,157336.3544
"1772","F","Ride",6.004,46190.5,383,0.00829174830322252,281157.762
"1773","M","Ride",6.384,14937.5,80.4,0.00538242677824268,96165
"1774","F","Ride",5.696,9877,0,0,56259.392
"1775","M","Ride",7.074,16608.8,119.9,0.00721906459226434,118689.6512
"1776","F","Run",3.21,8607,33.4,0.00388056233298478,27962.47
"1777","F","Ride",7.116,98463.7,487,0.00494598517016931,705537.6892
"1778","M","Ride",5.209,47525.9,866.6,0.018234268051736,256228.4131
"1779","M","Run",2.819,5167.7,0,0,14567.7463
"1780","F","Ride",4.45,25380.8,595.3,0.0234547374393242,118897.56
"1781","M","Ride",5.621,35960.7,542.6,0.0150886940465564,207561.0947
"1782","M","Run",2.853,4736.1,83.1,0.0175460822195477,14343.0933
"1783","F","Ride",4.484,31609,422,0.0133506279857003,145954.756
"1784","F","Ride",2.049,1671.7,0,0,3425.3133
"1785","M","Run",2.711,1361.1,0,0,3689.9421
"1786","F","Ride",7.943,116450,35.2,0.000302275654787462,925314.35
"1787","M","Ride",4.442,11490.4,407,0.0354208730766553,55110.3568
"1788","M","Ride",6.288,27913.4,308.3,0.0110448745047182,178602.4592
"1789","M","Ride",2.559,719,3.2,0.00445062586926287,1871.921
"1790","M","Ride",6.994,43475.3,732,0.0168371466096841,311386.2482
"1791","M","Ride",5.977,44543.8,704,0.0158046686632034,273278.2926
"1792","M","Ride",7.857,86629.3,1002.5,0.0115722971327253,690671.4101
"1793","M","Ride",7.57,80381.5,350,0.00435423573832287,611987.955
"1794","M","Ride",7.193,89158.9,450,0.00504716859449814,645819.9677
"1795","F","Run",2.684,6607.5,0,0,17734.53
"1796","F","Run",1.446,7541.8,249.3,0.0330557691797714,13398.4428
"1797","F","Ride",4.441,1190.3,14.7,0.0123498277745106,5433.1223
"1798","M","Ride",5.586,54995.2,94.6,0.00172015012219248,308149.1872
"1799","F","Ride",4.773,6457.8,0,0,30823.0794
"1800","F","Run",2.001,2579.8,0,0,5162.1798
"1801","M","Run",2.955,10716,24.5,0.0022863008585293,31910.78
"1802","M","Ride",4.498,12203.5,46.4,0.00380218789691482,55355.343
"1803","F","Ride",3.894,37288.1,421.8,0.0113119198886508,149417.8614
"1804","F","Ride",7.411,99232.9,617.7,0.00622475005769256,741592.0219
"1805","M","Ride",6.089,49779.6,814.9,0.016370159663798,311256.9844
"1806","M","Run",3.209,13592.4,162,0.0119184250022071,45238.0116
"1807","M","Ride",6.696,57746.7,552,0.00955898778631506,392191.9032
"1808","F","Ride",6.298,9327.4,65.4,0.00701160023157579,59397.9652
"1809","F","Ride",6.399,38142.7,57,0.00149438817912733,244645.1373
"1810","M","Ride",5.338,30901,381,0.0123296980680237,168759.538
"1811","M","Run",3.289,7329,85.8,0.0117069177241097,24963.081
"1812","M","Ride",8.937,40208.2,189.3,0.00470799488661517,361233.6834
"1813","F","Run",2.782,5099.8,27.4,0.0053727597160673,14461.6436
"1814","M","Ride",6.815,58937.5,302.6,0.00513425238600212,404685.0625
"1815","M","Ride",6.332,29195.8,17,0.000582275532782113,185037.8056
"1816","F","Run",2.215,5180.2,83.8,0.0161769815837226,12312.143
"1817","F","Ride",8.781,31560.3,3,9.5056130645146e-05,277160.9943
"1818","F","Run",1.806,4879.6,38.5,0.00788999098286745,9197.5576
"1819","M","Run",2.481,12026.9,6,0.000498881673581721,29898.7389
"1820","F","Run",3.408,21305,96,0.00450598451067824,73567.44
"1821","F","Ride",5.243,14249.7,81.4,0.00571240096282729,75525.1771
"1822","M","Ride",6.514,27480.5,59.6,0.00216881061116064,179603.977
"1823","F","Run",2.763,8487.8,54.4,0.0064091990857466,23995.7914
"1824","M","Ride",7.397,22426.2,138,0.00615351686866255,167266.6014
"1825","M","Ride",5.496,7689.3,46.5,0.00604736451952714,42725.3928
"1826","M","Ride",5.812,27344.2,795.9,0.0291067209865346,166883.4904
"1827","F","Run",2.652,10306,0,0,27331.512
"1828","M","Ride",7.965,14202.2,37.9,0.00266860063933757,113499.523
"1829","M","Run",3.569,12531.6,140.8,0.0112355964122698,46133.2804
"1830","F","Run",2.095,5684.5,11.2,0.00197027003254464,12021.0275
"1831","F","Ride",3.623,9597.3,0,0,34771.0179
"1832","M","Ride",5.468,10154.6,53,0.00521930947550864,56055.3528
"1833","F","Ride",4.544,47921.5,469.4,0.00979518587690285,222449.296
"1834","M","Ride",4.012,16381.4,42.7,0.00260661481924622,66149.1768
"1835","M","Ride",6.411,5263.4,13.2,0.00250788463730668,33875.6574
"1836","M","Run",1.412,9679.5,35.1,0.00362622036262204,14018.454
"1837","M","Ride",6.596,36061.2,0,0,237859.6752
"1838","F","Run",2.348,5065.6,0,0,11894.0288
"1839","F","Ride",6.646,27004.4,0,0,179471.2424
"1840","M","Ride",7.571,36460.7,310.1,0.00850504790089055,279144.9597
"1841","F","Run",3.004,4001.6,0,0,12020.8064
"1842","F","Run",2.264,3031.3,62.3,0.0205522383135948,7485.8632
"1843","M","Run",3.089,4408.3,33.4,0.0075766168364222,13951.2387
"1844","M","Ride",5.787,10427.3,32,0.00306886730025989,60662.7851
"1845","F","Ride",3.522,2644.7,45.9,0.0173554656482777,9773.6334
"1846","F","Ride",5.535,3730.3,23,0.00616572393641262,20877.2105
"1847","M","Run",3.228,11070,12.5,0.00112917795844625,35858.96
"1848","F","Run",1.962,5058.7,111.1,0.0219621641923814,11036.1694
"1849","F","Ride",4.206,31367.4,255.7,0.00815177541013919,134488.2844
"1850","M","Run",3.364,16825.5,155.3,0.00923003774033461,58153.982
"1851","M","Ride",4.516,41247.2,803.2,0.0194728369440835,194304.3552
"1852","F","Run",2.749,4489.4,13.3,0.00296253396890453,12474.3606
"1853","M","Ride",5.299,11965.1,52,0.00434597287110012,63923.0649
"1854","M","Run",2.547,43.3,0,0,110.2851
"1855","M","Ride",4.254,12515.2,206.1,0.01646797494247,55300.6608
"1856","F","Run",1.457,5557.2,15.9,0.00286115309868279,8255.8404
"1857","F","Ride",6.236,129676,2553,0.019687528918227,834189.536
"1858","M","Run",2.362,9030.4,11,0.00121810772501772,21439.8048
"1859","F","Run",3.02,9772.6,76,0.00777684546589444,30273.252
"1860","F","Run",3.543,8084.8,48.5,0.00599891153770038,29129.4464
"1861","F","Ride",5.768,50304,410.6,0.0081623727735369,294259.472
"1862","M","Ride",3.132,7207.3,104.5,0.0144991883229503,23618.2636
"1863","F","Ride",6.6,61858,1676.8,0.0271072456270814,425030.8
"1864","M","Ride",6.656,19295.5,194.1,0.0100593402606825,130371.848
"1865","M","Ride",6.723,46167.3,424.9,0.00920348385112406,314631.7579
"1866","M","Ride",6.691,11502.4,11.7,0.00101717902350814,77079.5584
"1867","F","Run",2.751,18558.1,259.6,0.0139885009780096,53649.3331
"1868","F","Run",3.177,6642.7,53.2,0.00800879160582293,21635.8579
"1869","F","Ride",7.403,29117.4,258.5,0.00887785310501624,218141.1122
"1870","M","Ride",6.661,31598.3,470.4,0.014886876825652,215180.2763
"1871","M","Ride",4.791,7545.5,175.6,0.0232721489629581,37906.4905
"1872","F","Ride",7.712,67430.1,176,0.00261011032165161,521780.9312
"1873","F","Ride",3.616,9897.1,180.1,0.0181972496994069,37588.9136
"1874","M","Ride",6.489,45555.4,321,0.00704636552417496,298818.9906
"1875","F","Run",2.152,9653.9,352.7,0.0365344575767306,24302.1928
"1876","M","Ride",5.677,96889.4,1796,0.0185365994628927,568001.1238
"1877","M","Ride",3.982,32960.9,389.7,0.0118230994906086,135147.3038
"1878","F","Run",1.656,2855.4,0,0,4728.5424
"1879","M","Ride",10.746,116411,0,0,1250952.606
"1880","M","Ride",6.485,53072.7,781.8,0.0147307372717047,351994.4595
"1881","F","Ride",3.641,21564.8,436.5,0.020241319186823,82882.4368
"1882","F","Run",1.515,3461,10.3,0.00297601849176539,5346.415
"1883","M","Ride",5.226,7378.9,24.6,0.00333383024570058,38808.1314
"1884","M","Ride",7.497,40598.5,229,0.0056406024853135,306656.9545
"1885","F","Run",3.406,5102.9,12.6,0.00246918418938251,17506.4774
"1886","F","Run",2.786,6705.1,82.6,0.0123189810741078,19506.4086
"1887","M","Run",2.741,7484.6,249.8,0.0333751970713198,23013.2886
"1888","F","Run",2.529,6116,84.7,0.0138489208633094,16314.364
"1889","M","Ride",3.542,15748.1,32.2,0.00204469110559369,56101.7702
"1890","F","Ride",3.611,8706.4,66.2,0.00760360194799228,32100.8104
"1891","F","Ride",4.415,32903.8,158.4,0.00481403363745221,146854.277
"1892","F","Ride",6.897,116348,426,0.00366142950458968,806712.156
"1893","M","Ride",6.778,65055,578,0.00888478979325186,446722.79
"1894","F","Ride",5.014,13724.2,0,0,68813.1388
"1895","F","Run",3.384,1631.1,0,0,5519.6424
"1896","M","Ride",5.839,113388,1563,0.0137845274632236,677702.532
"1897","M","Ride",4.658,6064.5,57.2,0.00943193997856377,28820.441
"1898","F","Ride",4.171,54708.3,780,0.0142574344295107,235988.3193
"1899","F","Run",1.723,2710.9,37.5,0.0138330443764064,5045.8807
"1900","M","Ride",3.787,20487.6,527.4,0.0257424002811457,82860.5412
"1901","F","Run",0.002,6.9,0,0,0.0138
"1902","M","Ride",7.336,34470,172,0.00498984624310995,254591.92
"1903","F","Run",2.514,3421.4,0,0,8601.3996
"1904","F","Ride",6.536,25250.4,0,0,165036.6144
"1905","M","Run",2.691,5631.8,34.9,0.00619695301679747,15504.1738
"1906","M","Run",2.676,3290.9,0,0,8806.4484
"1907","M","Ride",3.096,11361,282.1,0.0248305606900801,37994.656
"1908","M","Run",2.2,6787.3,216.2,0.03185360894612,17094.06
"1909","M","Ride",8.774,42389.3,0,0,371923.7182
"1910","F","Ride",6.618,53919.2,568,0.0105342809240493,362517.2656
"1911","M","Ride",4.132,36781.1,393.3,0.010692991781105,155912.5052
"1912","F","Run",3.164,2534.5,9,0.00355099625172618,8109.158
"1913","F","Run",2.838,5277.9,38.3,0.00725667405596923,15361.6802
"1914","M","Ride",3.446,23251,832.1,0.0357877080555675,88443.946
"1915","F","Run",3.064,8058,18.6,0.00230826507818317,24875.712
"1916","M","Ride",3.175,23540,804.1,0.0341588785046729,82780.5
"1917","F","Run",2.583,15092.9,292.2,0.0193600964692008,41906.9607
"1918","F","Ride",3.506,32638.3,95.3,0.00291988246936881,115382.8798
"1919","M","Ride",4.055,56689.3,1944.4,0.0342992416558328,249319.1115
"1920","M","Run",1.921,4418.9,44,0.00995722917468148,8928.7069
"1921","M","Ride",7.474,21397.2,69.6,0.00325276204363188,160618.6728
"1922","F","Run",3.245,11816.5,212,0.0179410146828587,40464.5425
"1923","M","Ride",3.824,30081.4,582.3,0.0193574767131849,120854.2736
"1924","M","Ride",3.339,467.4,0,0,1560.6486
"1925","M","Ride",7.02,51905,484.3,0.00933050765822175,369216.1
"1926","M","Run",0.146,7374,0,0,1076.604
"1927","M","Run",4.24,7204.6,0,0,30547.504
"1928","F","Ride",4.111,15653.8,172.4,0.0110133002849148,66076.7718
"1929","F","Ride",7.384,19965.6,32.8,0.00164282566013543,147753.9904
"1930","M","Run",2.891,21222.4,50,0.00235600120627262,61853.9584
"1931","F","Run",3.404,5786,70,0.0120981679917041,20395.544
"1932","M","Run",2.909,10150.6,35.1,0.00345792366953678,29879.0954
"1933","M","Ride",2.31,448.2,9,0.0200803212851406,1125.342
"1934","M","Run",1.773,1544.5,41.7,0.0269990288119132,3155.3985
"1935","F","Ride",5.656,76676.1,191.3,0.00249491040884969,435593.0216
"1936","M","Run",2.761,9994.2,576.3,0.0576634447979828,33356.9862
"1937","M","Ride",2.492,13195.5,394,0.0298586639384639,36823.186
"1938","F","Ride",6.965,33919.3,396,0.0116747692316764,240207.9245
"1939","F","Ride",4.395,3270.1,14.6,0.00446469526925782,14518.0895
"1940","M","Ride",5.226,4656.7,0,0,24335.9142
"1941","M","Ride",6.735,48192.4,248.7,0.00516056473634847,327062.814
"1942","M","Ride",6.533,15248.4,196.1,0.0128603656777104,101578.7972
"1943","F","Ride",2.47,8379.1,163.9,0.0195605733312647,22335.377
"1944","M","Ride",7.002,83264.3,406.1,0.00487724030586938,587077.6286
"1945","M","Ride",5.362,42409.7,57.1,0.0013463900947189,227971.8114
"1946","F","Run",2.593,6460.3,71.7,0.0110985557946225,17468.5579
"1947","M","Run",2.626,4724.2,20.9,0.00442402946530629,12614.7492
"1948","F","Run",3.186,33404.7,290.7,0.00870236822962038,109334.3742
"1949","M","Run",2.828,19532.8,380,0.0194544560943644,59038.7584
"1950","M","Ride",5.322,12542.8,123.7,0.00986223171859553,67989.7816
"1951","F","Run",2.885,7668,57.6,0.00751173708920188,22698.18
"1952","F","Ride",5.934,40163.2,544.6,0.0135596765197992,243774.4288
"1953","M","Ride",7.106,2849.6,4,0.00140370578326783,20289.2576
"1954","M","Ride",5.643,23679.9,403,0.0170186529503925,137655.6757
"1955","F","Run",4.396,4949.7,0,0,21758.8812
"1956","F","Ride",8.096,54431.9,274,0.00503381289280734,443420.6624
"1957","M","Ride",8.314,44996,87,0.00193350520046226,374966.744
"1958","F","Run",3.115,11242.2,0,0,35019.453
"1959","M","Ride",4.498,7430.7,23.7,0.00318947070935443,33660.2886
"1960","M","Run",3.533,8708.8,27.8,0.00319217343376814,31046.1904
"1961","F","Ride",8.774,85775.8,317,0.00369568106622148,755766.8692
"1962","F","Run",1.142,2838.1,39.3,0.0138472922025299,3634.1102
"1963","F","Run",1.402,79.9,0,0,112.0198
"1964","F","Ride",3.17,24979.7,105,0.00420341317149525,80235.649
"1965","F","Ride",8,46520.7,201.9,0.00434000348232077,374184.6
"1966","M","Run",3.159,6097.3,37.8,0.00619946533711643,19639.3707
"1967","M","Ride",2.032,12270.7,195.4,0.0159241119088561,26888.0624
"1968","F","Ride",2.871,33258.6,682.3,0.0205149946179334,102308.4406
"1969","F","Ride",1.212,16450,36.2,0.00220060790273556,20299.4
"1970","F","Run",2.631,4894,29.4,0.0060073559460564,13170.114
"1971","F","Run",3.268,11063.1,0,0,36154.2108
"1972","M","Ride",6.98,33648.6,379.8,0.0112872452345714,238665.228
"1973","M","Ride",7.699,52964.8,68.8,0.0012989759236323,408463.9952
"1974","M","Ride",4.646,25592.5,697,0.0272345413695419,125872.755
"1975","F","Ride",7.242,16032.9,64,0.00399179187795096,116750.2618
"1976","M","Run",2.71,5453,0,0,14777.63
"1977","M","Run",3.025,11270.4,0,0,34092.96
"1978","F","Run",2.183,2967.1,0,0,6477.1793
"1979","M","Run",2.964,11056.3,44,0.0039796315222995,33210.8732
"1980","M","Ride",8.766,51826.1,335.5,0.00647357219624861,457662.5926
"1981","M","Ride",1.06,9303.2,525,0.0564321953736349,15111.392
"1982","F","Ride",7.391,120569,1590,0.0131874694158532,907025.479
"1983","M","Ride",6.045,7798.4,26.9,0.00344942552318424,47410.328
"1984","F","Run",2.411,4409.6,177.7,0.0402984397677794,12408.5456
"1985","F","Run",2.602,5180.6,0,0,13479.9212
