"","athlete.sex","type","averageSpeed","averageDistance","averageElevationGain","averageIncline","averageScore","n"
"1","F","Ride",5.45185857908847,29467.7793565684,272.183445040214,0.00904863497220812,183191.609015751,1492
"2","F","Run",2.55333291925466,6903.95161490683,66.2878881987578,0.00894587845038461,18825.9917899379,1610
"3","M","Ride",6.26021226588322,35914.2168196842,350.042379728241,0.0101630772224386,248775.948148182,2723
"4","M","Run",2.9498979143798,8302.85389681668,89.8319429198683,0.00967662679074149,25689.0130774973,911
